time,camera,ppe_status,decision,roll_no,hour
2026-01-13 18:57:00,Laptop Camera (Test Mode),FALSE,ALLOWED,,18.0
2026-01-13 19:01:00,Laptop Camera (Test Mode),FALSE,ALLOWED,,19.0
2026-01-13 19:35:00,Laptop Camera,PPE MISSING,ALLOWED,,19.0
2026-01-13 19:37:00,Laptop Camera,PPE MISSING,ALLOWED,,19.0
2026-01-13 19:41:00,Laptop Camera,PPE MISSING,ALLOWED,,19.0
2026-01-13 19:43:00,Laptop Camera,PPE MISSING,ALLOWED,,19.0
,Laptop Camera,PPE MISSING,ALLOWED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE NOT DETECTED,DENIED,,
,Laptop Camera,PPE NOT DETECTED,DENIED,,
,Laptop Camera,PPE NOT DETECTED,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
,Laptop Camera,PPE MISSING,DENIED,,
2026-01-21 22:55:28,2022a1r155,Laptop Camera,PPE NOT DETECTED,DENIED,22.0
2026-01-21 22:56:42,2022a1r155,Laptop Camera,PPE NOT DETECTED,DENIED,22.0
2026-01-21 23:01:35,2022a1r155,Laptop Camera,PPE NOT DETECTED,DENIED,23.0
2026-01-21 23:03:27,2022a1r155,Laptop Camera,PPE NOT DETECTED,DENIED,23.0
2026-01-21 23:06:33,2022a1r155,Laptop Camera,PPE NOT DETECTED,DENIED,23.0
2026-01-21 23:11:23,2022a1r155,Laptop Camera,PPE NOT DETECTED,DENIED,23.0
2026-01-21 23:18:01,2022a1r155,Laptop Camera,PPE NOT DETECTED,DENIED,23.0
2026-01-21 23:31:00,2022a1r155,Laptop Camera,PPE NOT DETECTED,DENIED,23.0
2026-01-21 23:36:15,2022a1r155,Laptop Camera,PPE NOT DETECTED,DENIED,23.0
2026-01-22 15:35:50,2022a1r155,Laptop Camera,PPE NOT DETECTED,DENIED,15.0
2026-02-22 18:12:22,2022A1R058,Laptop Camera,PPE NOT DETECTED,DENIED,18.0
2026-02-22 18:15:01,2022A1R058,Laptop Camera,PPE NOT DETECTED,DENIED,18.0
2026-02-22 18:17:39,2022A1R058,Laptop Camera,PPE NOT DETECTED,DENIED,18.0
2026-02-22 18:28:38,2022A1R058,Laptop Camera,PPE NOT DETECTED,DENIED,18.0
